Ward_Alphabet,Ward_Names,TOT_P_DEN
A,Colaba,14801.12
B,Sandhurst Road,50916.0
C,Marine Lines,92311.67
D,Grant Road,52555.45
E,Byculla,53146.76
F/N,Matunga,40694.92
F/S,Parel,25783.71
G/N,Dadar/Plaza,41510.88
G/S,Elphinstone,59903.9
H/E,Khar/Santacruz,22783.78
H/W,Bandra,48037.84
K/E,Andheri (East),33221.17
K/W,Andheri (West),31995.21
L,Kurla,56743.71
M/E,Chembur,24852.92
M/W,Chembur (West),21122.72
N,Ghatkopar,23955.88
P/N,Malad,49286.18
P/S,Goregaon,18996.19
R/C,Borivali,11243.24
R/N,Dahisar,23964.89
R/S,Kandivali,38833.09
S,Bhandup,11621.61
T,Mulund,7521.21
